ds,yhat,yhat_lower,yhat_upper,product_id
2024-01-01,1387219.6960656857,-9000939.13391138,12213964.085933864,TOO_00
2024-01-02,-876078.4906274794,-12197585.982801255,10124964.953008283,TOO_00
2024-01-03,-982826.7861713725,-11373416.337164847,9922573.850470454,TOO_00
2024-01-04,-1597945.425523786,-12081200.83312653,8508948.502968036,TOO_00
2024-01-05,-3328509.6710439264,-14762319.728616621,7215505.759228847,TOO_00
2024-01-06,978191.1515188592,-9027967.649101024,11717216.856422849,TOO_00
2024-01-07,2864465.662202497,-7518826.230543278,13732927.441058086,TOO_00
2024-01-08,1409889.2360197895,-10116263.780915191,11920962.331802176,TOO_00
2024-01-09,-853408.950682689,-11452987.301592382,9547256.8110993,TOO_00
2024-01-10,-960157.2462310238,-12088284.125241755,9412982.565994317,TOO_00
2024-01-11,-1575275.8855825786,-12481584.838643007,8984624.699730428,TOO_00
2024-01-12,-3305840.1310981205,-13682805.098158875,6789289.2301588375,TOO_00
2024-01-13,1000860.6914484645,-9154613.923191467,11923623.120191028,TOO_00
2024-01-14,2887135.227567008,-7400283.672083507,13294187.26965196,TOO_00
2024-01-15,1432558.8268047415,-9702123.709333591,12381093.915834311,TOO_00
2024-01-16,-830739.334472384,-11542353.14224557,9949643.89947154,TOO_00
2024-01-17,-937487.6045968974,-12437838.71954482,9981105.658167483,TOO_00
2024-01-18,-1552606.2185300197,-11943543.929220749,8750753.603745058,TOO_00
2024-01-19,-3283170.4386212844,-13885718.928177394,8153103.320527153,TOO_00
2024-01-20,1023530.4093487085,-9717412.784352127,11599721.660911767,TOO_00
2024-01-21,2909804.945467278,-8028561.926606207,13687716.557797592,TOO_00
2024-01-22,1455228.5446988852,-9208121.279037537,12314533.734176882,TOO_00
2024-01-23,-808069.6165783542,-11941983.90293722,9036747.610998124,TOO_00
2024-01-24,-914817.886700085,-11413551.63258797,10383929.373600164,TOO_00
2024-01-25,-1529936.5023432702,-12680268.859745786,8580452.605959738,TOO_00
2024-01-26,-3260500.724137943,-13890017.884224048,7916866.908351888,TOO_00
2024-01-27,1046200.1221269731,-8730594.167067695,11081102.161964105,TOO_00
2024-01-28,2932474.656533514,-7950322.694866358,13520426.357385958,TOO_00
2024-01-29,1477898.2540692256,-9802414.767406382,11398892.772343801,TOO_00
2024-01-30,-785399.9089282819,-11710076.440660974,9590539.86527116,TOO_00
2024-01-31,-892148.1807549394,-12051512.837196564,10229255.404133849,TOO_00
2024-02-01,-1507266.796385814,-12709438.348348605,8871642.782007324,TOO_00
2024-02-02,-3237831.0181912323,-14293972.182836367,7352821.680511158,TOO_00
2024-02-03,1068869.8280768688,-9880698.886653803,11455398.808497684,TOO_00
2024-02-04,2955144.3624793803,-7782884.927521951,14738389.22575314,TOO_00
2024-02-05,1500567.9600154117,-8810478.336602248,11713864.586230377,TOO_00
2024-02-06,-762730.2016363328,-11400053.776292441,9193885.271183621,TOO_00
2024-02-07,-869478.472118645,-11070833.608877731,10222660.99660455,TOO_00
2024-02-08,-1484597.0864062984,-11753622.067296596,8932166.006614255,TOO_00
2024-02-09,-3215161.3068672856,-14834021.541502565,7101414.99401031,TOO_00
2024-02-10,1091539.5407546363,-10085162.752886219,11591427.341142943,TOO_00
2024-02-11,2977814.076499449,-8173496.091567044,13923171.704393465,TOO_00
2024-02-12,1523237.6753739668,-8712058.535991654,12901186.314046677,TOO_00
2024-02-13,-740060.4862709371,-11280697.358623711,9519366.570904234,TOO_00
2024-02-14,-846808.7567512664,-12518455.59274828,10472516.76047034,TOO_00
2024-02-15,-1461927.3710423256,-12579355.669975195,9230621.51396072,TOO_00
2024-02-16,-3192491.591500874,-14056486.061344733,7788085.368433261,TOO_00
2024-02-17,1114209.256122617,-9693995.93972188,11991762.530746562,TOO_00
2024-02-18,3000483.789714886,-7428879.076942325,12743783.937700015,TOO_00
